Rank,Name,Country,Industry,Reg_1,Reg_2,Reg_3,
127,Ned Johnson III,United States,Finance,,,,
128,Charoen Sirivadhanabhakdi,Thailand,Food & Beverage,,,,
129,Donald Bren,United States,Real-Estate,,,,
130,Ricardo Salinas,Mexico,Diversified,,,,
131,Patrick Soon-Shiong,United States,Health Care,,,,
132,Philip Anschutz,United States,Diversified,,,,
133,Radhakishan Damani,India,Retail,,,,
134,Michael Hartono,Indonesia,Diversified,,,,
135,Ma Jianrong,China,Consumer,,,,
136,Jorge Moll & Family,Brazil,Health Care,,,,
137,Charles Ergen,United States,Media & Telecom,,,,
138,Dave Duffield,United States,Technology,,,,
139,Eric Yuan,United States,Technology,,,,
140,Uday Kotak,India,Finance,,,,
141,David Tepper,United States,Finance,,,,
142,Karl Albrecht Jr.,Germany,Retail,,,,
143,Beate Heister,Germany,Retail,,,,
144,Zuo Hui,China,Real-Estate,,,,
145,Jim Goodnight,United States,Technology,,,,
146,Patrick Drahi,France,Media & Telecom,,,,
147,Su Hua,China,Technology,,,,
148,Huang Shilin,China,Industrial,,,,
149,Scott Farquhar,Australia,Technology,,,,
150,Mike Cannon-Brookes,Australia,Technology,,,,
151,Mikhail Fridman,Russia,Diversified,,,,
152,Robin Li,China,Technology,,,,
153,Chen Zhiping,China,Consumer,,,,
154,Mikhail Prokhorov,Russia,Diversified,M-RBUS,,,
155,Jensen Huang,United States,Technology,,,,
156,Fan Hongwei,China,Energy,,,,
157,Jim Davis,United States,Consumer,,,,
158,Joseph Tsai,Canada,Technology,VP-COR,,,
159,Hugh Grosvenor,United Kingdom,Real-Estate,,,,
160,Alejandro Santo Domingo & Family,Colombia,Food & Beverage,,,,
161,Cen Junda,China,Health Care,,,,
162,Jan Koum,United States,Technology,,,,
163,Wang Jianlin,China,Real-Estate,,,,
164,Zhou Qunfei,China,Technology,,,,
165,Victor Rashnikov,Russia,Industrial,,,,
166,Raymond Kwok,Hong Kong,Real-Estate,,,,
167,Forrest Li,Singapore,Technology,,,,
168,Sherry Brydson,Canada,Media & Telecom,,,,
169,Dang Yanbao,China,Energy,,,,
170,Lee Jae-Yong & Family,Korea,Diversified,,,,
171,Paolo Rocca  & Family,Italy,Commodities,,,,
172,Wu Shaoxun,China,Food & Beverage,,,,
173,Wang Chuan-Fu,China,Consumer,,,,
174,Carl Cook,United States,Health Care,,,,
175,Jack Dorsey,United States,Technology,,,,
176,Robert Pera,United States,Technology,,,,
177,Leng You-Bin,China,Consumer,,,,
178,Melker Schorling,Sweden,Diversified,,,,
179,Charles Schwab,United States,Finance,,,,
180,Brian Chesky,United States,Services,,,,
181,Marcel Telles,Brazil,Food & Beverage,,,,
182,Thomas Kwok,Hong Kong,Real-Estate,,,,
183,Dilip Shanghvi,India,Health Care,,,,
184,Pierre Omidyar,United States,Technology,,,,
185,Savitri Jindal,India,Commodities,,,,
186,Gong Hongjia,China,Technology,,,,
187,Brian Armstrong,United States,Technology,,,,
188,Liu Yongxing,China,Industrial,,,,
189,Patrick Collison,Ireland,Technology,,,,
190,John Collison,Ireland,Technology,,,,
191,Harry Triguboff,Australia,Real-Estate,,,,
192,Gordon Moore,United States,Technology,,,,
193,Micky Arison,United States,Entertainment,,,,
194,Cheng Yixiao,China,Technology,,,,
195,Marijke Mars,United States,Food & Beverage,,,,
196,Victoria Mars,United States,Food & Beverage,,,,
197,Pamela Mars-Wright,United States,Food & Beverage,,,,
198,Valerie Mars,United States,Food & Beverage,,,,
199,Eyal Ofer,Israel,Services,,,,
200,Stefano Pessina,Monaco,Retail,,,,
201,Heinrich Deichmann & Family,Germany,Retail,,,,
202,David Sun,United States,Technology,,,,
203,John Tu,United States,Technology,,,,
204,Anders Holch Povlsen & Family,Denmark,Retail,,,,
205,Bobby Murphy,United States,Technology,,,,
206,Graeme Hart,New Zealand,Finance,N66ZG,,,
207,Leon Black,United States,Finance,,,,
208,David Geffen,United States,Entertainment,N221DG,,,
209,Steve Cohen,United States,Finance,,,,
210,Dmitry Rybolovlev,Russia,Diversified,M-KATE,,,
211,Ding Shizhong,China,Consumer,,,,
212,Emmanuel Besnier,France,Food & Beverage,,,,
213,Liu Yonghao,China,Diversified,,,,
214,Wei Jianjun,China,Consumer,,,,
215,Reinhold Schmieding,United States,Health Care,,,,
216,Carlos Sicupira,Brazil,Food & Beverage,,,,
217,Frank Wang,China,Technology,,,,
218,Li Shuirong,China,Energy,,,,
219,Pham Nhat Vuong,Viet Nam,Real-Estate,,,,
220,Michael Kadoorie,Hong Kong,Energy,,,,
221,Ding Shijia,China,Consumer,,,,
222,Seo Jung-Jin,Korea,Health Care,,,,
223,Stan Druckenmiller,United States,Finance,,,,
224,Kumar Birla,India,Industrial,,,,
225,Kim Jung-Ju,Korea,Technology,,,,
